	8x8  Z4	8x8 Z4			12x12 Z4	12x12 Z4			16x16 Z4	16x16 Z4			20x20 Z4	20x20 Z4		
g	1st Derivative	2nd Derivative		g	1st Derivative	2nd Derivative		g	1st Derivative	2nd Derivative		g	1st Derivative	2nd Derivative		
0	3.49943071372091	-2.82745842592435		0	3.666777913999	-2.51214639240793		0	3.75081158050674	-2.38653022501621		0	3.79981061469887	-2.30491448118586		
0.1	3.21668487112848	-4.05764897991214		0.1	3.41556327475821	-3.35097681968851		0.1	3.51215855800512	-3.2032639922669		0.1	3.56931916658028	-3.01425778211172		
0.2	2.81091997313726	-5.81011038457693		0.2	3.08046559278936	-4.97262977641706		0.2	3.19183215877843	-4.11958458167636		0.2	3.26789338836911	-3.79328542508755		
0.22	2.69471776544572	-6.61669278262499		0.22	2.98101299726102	-5.62720997163082		0.22	3.1094404671449	-4.65294686292783		0.21	3.22996053411824	-3.9182546867953		
0.24	2.56238390979322	-7.35362482560445		0.24	2.8684687978284	-5.9415415307618		0.24	3.01638152988635	-5.36224112776648		0.22	3.19077798725028	-4.23425162860594		
0.26	2.41531141328114	-8.32714272327841		0.26	2.74963796721316	-6.8524956816575		0.26	2.90913670733102	-6.10916888036347		0.23	3.14843547096422	-4.41652487882523		
0.28	2.24876855881557	-9.1448714211602		0.28	2.61258805358001	-8.55586040798308		0.27	2.84804501852738	-6.60026612242834		0.24	3.10427022217597	-4.79102663479006		
0.3	2.06587113039236	-10.0520433384342		0.3	2.44147084542035	-11.7146523180086		0.28	2.7820423573031	-7.55040855522359		0.25	3.05635995582807	-5.17259757918157		
0.32	1.86483026362368	-9.41271182885846		0.31	2.32432432224027	-13.8173576507928		0.29	2.70653827175086	-8.68072891825825		0.26	3.00463398003626	-5.59322369694994		
0.33	1.7707031453351	-9.07872716912179		0.32	2.18615074573234	-12.4481241411855		0.3	2.61973098256828	-10.1286627200598		0.27	2.94870174306676	-6.25331911129604		
0.34	1.67991587364388	-9.08606292818026		0.325	2.12391012502641	-12.0188904465142		0.31	2.51844435536768	-13.0107873091896		0.28	2.8861685519538	-7.02495343150015		
0.35	1.58905524436208	-8.21553528599838		0.33	2.06381567279384	-11.7744666675921		0.315	2.45339041882174	-13.7291530187309		0.29	2.81591901763879	-8.32850601999486		
0.36	1.50689989150209	-7.6480873531538		0.34	1.94607100611792	-11.3377555492028		0.32	2.38474465372808	-14.2953010671506		0.3	2.73263395743885	-9.99819076002443		
0.37	1.43041901797056	-7.53625773637624		0.35	1.83269345062589	-10.1289441486516		0.325	2.31326814839233	-14.4149385949338		0.31	2.6326520498386	-12.3535461675598		
0.379999999999999	1.35505644060679	-6.65266326859396		0.36	1.73140400913938	-9.56380430956056		0.33	2.24119345541766	-14.8719484437047		0.315	2.5708843190008	-13.5156527935328		
0.389999999999999	1.28852980792085	-6.37975188277754		0.37	1.63576596604377	-8.97029408272074		0.335	2.16683371319914	-13.9945176122658		0.32	2.50330605503314	-15.0285256963043		
0.399999999999999	1.22473228909308	-5.89752800485397		0.38	1.54606302521656	-8.22183204482262		0.34	2.09686112513781	-13.3698900523818		0.325	2.42816342655162	-15.3212324493635		
0.409999999999999	1.16575700904454	-5.58079834220209		0.39	1.46384470476834	-7.8168726278988		0.35	1.96316222461399	-11.5949304116735		0.33	2.3515572643048	-15.5390724455037		
0.419999999999999	1.10994902562252	-5.06538410038233		0.4	1.38567597848935	-6.79939287371404		0.36	1.84721292049726	-10.267126706196		0.335	2.27386190207728	-14.981223817165		
0.429999999999999	1.0592951846187	-4.80006644510254		0.41	1.31768204975221	-6.44940833396933		0.37	1.7445416534353	-9.761905304174		0.34	2.19895578299146	-13.8642128804983		
0.439999999999999	1.01129452016767	-4.41718653980815		0.42	1.25318796641252	-6.01113955548159		0.38	1.64692260039356	-9.12012966308166		0.35	2.06031365418647	-13.1841653076096		
0.449999999999999	0.96712265476959	-4.22776277981004		0.429999999999999	1.1930765708577	-5.57981999107358		0.39	1.55572130376274	-8.21706592865998		0.36	1.92847200111038	-11.4130663798189		
0.459999999999999	0.924845026971489	-4.0271879729543		0.439999999999999	1.13727837094697	-5.13190913708954		0.4	1.47355064447614	-7.52936713275797		0.37	1.81434133731219	-10.3705270828274		
0.469999999999999	0.884573147241947	-3.67111852653939		0.449999999999999	1.08595927957607	-4.90861178716808		0.41	1.39825697314856	-7.12262386105656		0.38	1.71063606648392	-9.55913190985174		
0.479999999999999	0.847861961976553	-3.45020875413866		0.459999999999999	1.03687316170439	-4.56981682534965		0.42	1.327030734538	-6.43957392189499		0.39	1.6150447473854	-8.54619166140342		
0.489999999999999	0.813359874435166	-3.19002121373723		0.469999999999999	0.991174993450894	-4.15388498222953		0.429999999999999	1.26263499531905	-5.97970633524825		0.4	1.52958283077137	-8.0054040737014		
0.499999999999999	0.781459662297794	-2.75823633749131		0.479999999999999	0.949636143628599	-4.0369799083481		0.439999999999999	1.20283793196657	-5.50702539417789		0.41	1.44952879003435	-7.37366459627335		
0.55	0.643547845423226	-2.02254741796477		0.489999999999999	0.909266344545118	-3.80901987267251		0.449999999999999	1.14776767802479	-5.26386728474262		0.42	1.37579214407162	-6.87369443769737		
0.6	0.542420474524987	-1.68668682650271		0.499999999999999	0.871176145818393	-3.27210160335794		0.459999999999999	1.09512900517736	-4.7927638785112		0.429999999999999	1.30705519969465	-6.30030119018708		
0.650000000000001	0.45808613319985	-1.25928923769064		0.52	0.805734113751232	-2.93562859116946		0.469999999999999	1.04720136639225	-4.51709104823614		0.439999999999999	1.24405218779278	-5.85708620214037		
0.700000000000002	0.395121671315316	-1.03761476069903		0.55	0.717665256016148	-2.52035006092453		0.479999999999999	1.00203045590989	-4.2757758864089		0.449999999999999	1.18548132577137	-5.43448116660945		
0.750000000000003	0.343240933280363	-0.851760932490431		0.58	0.642054754188412	-2.10161473509353		0.489999999999999	0.959272697045799	-4.12703214895934		0.459999999999999	1.13113651410528	-5.05162635761132		
0.800000000000005	0.300652886655841			0.6	0.600022459486542	-2.04930428690211		0.5	0.918002375556202	-3.52679332952138		0.469999999999999	1.08062025052916	-4.56739775278104		
				0.62	0.559036373748499	-1.66267244369017		0.52	0.847466508965775	-3.11630905601527		0.48	1.03494627300135	-4.32500987628651		
				0.65	0.509156200437794	-1.48003674857346		0.55	0.753977237285316	-2.58445090706921		0.5	0.948446075475621	-3.69872048724097		
				0.68	0.46475509798059	-1.33229781968419		0.58	0.67644371007324	-2.28553332251676		0.52	0.874471665730802	-3.25969072552442		
				0.7	0.438109141586907			0.6	0.630733043622905	-2.10344973227754		0.55	0.776680943965069	-2.66855884899616		
								0.62	0.588664048977354	-1.8092169477252		0.58	0.696624178495184	-2.37011421636957		
								0.65	0.534387540545598	-1.58082687186986		0.6	0.649221894167793	-2.16775745164096		
								0.68	0.486962734389502	-1.3938895680633		0.62	0.605866745134974	-1.88961645858305		
								0.7	0.459084943028236			0.65	0.549178251377482	-1.59118655305935		
												0.68	0.501442654785702	-1.45920148856696		
												0.7	0.472258625014363			
