	8x8	12x12			12x12				16x16				20x20	
	pure  Z4				pure  Z4				pure  Z4				pure  Z4	
g	energy	MCerror		g	energy	MCerror			energy	MCerror			energy	MCerror
0	-1.53124870418119	2.3152945547905E-6		0	-1.68055571528406	7.56424629984178E-7		0	-1.75781221446926	8.37508357291729E-7		0	-1.80499981231047	5.47800110495458E-7
0.1	-1.19463003443842	4.67915175877491E-6		0.1	-1.32596059166696	1.52964187336495E-5		0.1	-1.39431145180393	3.0633233753375E-6		0.1	-1.43617952289855	2.41481037885087E-6
0.2	-0.891815591799248	2.35477878188531E-5		0.2	-1.00028244981141	1.0008266872188E-4		0.2	-1.05813171070807	4.16484373747265E-6		0.2	-1.09344017043617	2.61183450142721E-6
0.22	-0.836978707337078	1.26532747825679E-5		0.22	-0.940132187031722	1.06961934893163E-5		0.22	-0.995099416735939	3.84268848905665E-6		0.21	-1.0609479703874	4.07444071307761E-6
0.24	-0.784469458659123	2.04532114274532E-5		0.24	-0.88200496094299	1.01983764155922E-5		0.24	-0.933811710767425	5.39189300968623E-6		0.22	-1.02884240325753	4.99793584946072E-6
0.26	-0.734646862742198	1.32223421249195E-5		0.26	-0.825770073722896	1.80756502539881E-5		0.26	-0.874519694680893	7.14762574455205E-6		0.23	-0.997137292972765	4.19774993617566E-6
0.28	-0.687952753929845	1.34658034967402E-5		0.28	-0.77204917579269	3.10407052869388E-5		0.27	-0.845710252359066	1.65525378555702E-5		0.24	-0.965879965469401	3.08584025867925E-6
0.3	-0.644668510751019	4.62777309217082E-5		0.3	-0.721517851256149	1.44418136236446E-5		0.28	-0.817546022130345	1.68503577409016E-5		0.25	-0.935058262741603	7.44339422984472E-6
0.32	-0.605538739220174	2.5862892819746E-5		0.31	-0.698044569877124	3.07957632570459E-5		0.29	-0.790104529973482	1.13923662141972E-5		0.26	-0.904747771377036	5.32615888537896E-6
0.33	-0.587461903082015	1.13475889367024E-5		0.32	-0.676162567147207	1.71454181056946E-5		0.3	-0.763447273930646	1.6413727213536E-5		0.27	-0.874971841459378	7.27787807152619E-6
0.34	-0.570137537653423	2.57351384554457E-5		0.325	-0.665389838166373	1.66666629533849E-5		0.31	-0.737733527486622	1.020866071961E-5		0.28	-0.84578125607749	3.26951714214099E-6
0.35	-0.553845509445481	9.08173550198489E-6		0.33	-0.654802619378322	1.68234016171059E-5		0.315	-0.725385377969203	2.09683824885676E-5		0.29	-0.817254096855124	6.79636842595294E-6
0.36	-0.538321694347022	1.5781345103118E-5		0.34	-0.634662366514931	2.12368145659477E-5		0.32	-0.713342926195262	9.30687203839529E-6		0.3	-0.789445941345056	1.01618011751452E-5
0.37	-0.523588524370929	2.40012519831487E-5		0.35	-0.615560473852991	2.55004204142318E-5		0.325	-0.701606427219203	9.29373549763814E-6		0.31	-0.762592819864771	5.86806770918986E-6
0.379999999999999	-0.509424959602401	7.1312494056845E-5		0.36	-0.597888695040945	2.12605607160613E-5		0.33	-0.690088886933073	1.26230774125263E-5		0.315	-0.749584856876048	9.70031087550017E-6
0.389999999999999	-0.496359685945147	2.09909041751996E-5		0.37	-0.581087739540646	1.41871492709031E-5		0.335	-0.679013816928149	2.17223736102941E-5		0.32	-0.736872023689397	6.86700334587818E-6
0.399999999999999	-0.483620532445687	2.03757642526956E-5		0.38	-0.56515777580467	1.20283465944069E-5		0.34	-0.668049143467152	2.24158093124722E-5		0.325	-0.724509002137392	1.6780533938474E-5
0.409999999999999	-0.471742803844282	3.41369850186726E-5		0.39	-0.550059464576764	1.16846673282602E-5		0.35	-0.647583333070821	2.28067430505182E-5		0.33	-0.712554769450877	8.81255376924969E-6
0.419999999999999	-0.460364799086126	3.35430892369254E-5		0.4	-0.535614518372829	1.22493299159267E-5		0.36	-0.628704130143457	1.78318712559193E-5		0.335	-0.700967927157105	7.3213223599266E-6
0.429999999999999	-0.449552408000742	1.84833139791802E-5		0.41	-0.522156122067078	2.36520458716367E-5		0.37	-0.610943444629341	1.54602770218048E-5		0.34	-0.689719852673298	8.04580845489931E-6
0.439999999999999	-0.439175184963525	2.95385860016445E-5		0.42	-0.509284164926004	1.67942731119703E-5		0.38	-0.594038312301842	9.67221473612943E-6		0.35	-0.6684112481167	1.11373193223805E-5
0.449999999999999	-0.429286021911546	2.07736653216256E-5		0.429999999999999	-0.497057040107627	1.11268231861482E-5		0.39	-0.577905407046839	1.45254009355382E-5		0.36	-0.648244410671712	6.60223703707861E-6
