16x16															
h=1, g=0.33, J=0.5															
L	1/L	bulkEnergy		1/(L-2)	bulkEnergy		1/(L-4)	bulkEnergy		1/(L-6)	bulkEnergy				
4	0.25	-0.6777	1E-6	0.25	-1.3066608857	3.09851821627696E-4	0.5	-1.3272465908	7.49739577487283E-4	0.5	-1.3322882649	0.00104093493464789			
6	0.166666666666667	-0.8707416884	1.78370089122033E-5	0.166666666666667	-1.3151175946	2.46850091037891E-4	0.25	-1.330150538	2.13429991851592E-4	0.25	-1.3327040724	2.04241963292534E-4			
8	0.125	-0.9770263927	1.41305705165297E-5	0.125	-1.3196123522	9.80404813519826E-5	0.166666666666667	-1.3311925711	1.78962435665151E-4	0.166666666666667	-1.3326846878	2.86474581548364E-4			
10	0.1	-1.0438309272	1.29505166846799E-5	0.1	-1.3222056167	1.11962057605926E-4	0.125	-1.331665969	1.50450242313556E-4	0.1	-1.3327259336	6.1754630158741E-5			
12	0.0833333333333333	-1.0895431573	2.20069102887524E-5	0.0714285714285714	-1.3250180297	1.07882920414286E-4	0.0833333333333333	-1.3319324514	5.28711731563866E-5						
16	0.0625	-1.1479132607	3.50080494586726E-5												
