	10x10			12x12			16x16	
bond dimension D	Energy	MC error		Energy	MC error		Energy	MC error
4	-1.0398282761302	8.31442184509749E-5		-1.08693130487849	8.17900861148288E-5		-1.14579485482026	8.68055142553295E-5
6	-1.0429393454912	6.30310295025204E-5		-1.0881899316259	7.0650672453722E-5		-1.14676403322117	6.47726090285159E-5
8	-1.04355821813639	5.01432426474664E-5		-1.08935256357735	2.83223583597684E-5		-1.1476371082342	2.7103615109283E-5
10	-1.0437213768188	2.92711353419327E-5		-1.08939914095251	2.23167400895009E-5		-1.14775741197691	2.89841243716386E-5
12	-1.04383411002189	2.05278763620324E-5		-1.08954283092722	2.09279890519677E-5		-1.14790663931048	2.44403885764728E-5
14	-1.0438652572325	1.64617470356531E-5		-1.08954137934058	1.1318136724345E-5		-1.14790845382774	2.67788160156075E-5
