	8x8				12x12				16x16				20x20				24x24	
	pure  Z3				pure  Z3				pure Z3				pure Z3				pure Z3	
g	energy	MCerror		g	energy	MCerror		g	energy	MCerror		g	energy	MCerror		g	energy	MCerror
0.41	-0.391611309381726	1.62699687697435E-5		0.380000000000001	-0.482795294361382	2.46081445119619E-5		0.38	-0.509425545961393	2.10228204482121E-5		0.38	-0.52505025886575	1.93106855233885E-5		0.385	-0.525714679278316	1.86560699363864E-5
0.42	-0.379652141883142	2.7418889630104E-5		0.385	-0.473954323802955	1.49796120923145E-5		0.385	-0.499734725885141	1.60837366538556E-5		0.385	-0.514912950478043	2.62480562619023E-5		0.39	-0.514802189579927	3.08704387307409E-5
0.43	-0.368449030250748	9.14550317928025E-6		0.390000000000001	-0.465469019033237	1.4467686093761E-5		0.39	-0.490378917631254	2.57102721205224E-5		0.39	-0.50516959356553	3.12693038918932E-5		0.4	-0.496486444531194	4.00746440989159E-5
0.44	-0.357885264584881	1.74123796911723E-5		0.400000000000002	-0.449392168623684	4.09338451842111E-5		0.4	-0.473066190061002	2.69938895851247E-5		0.4	-0.487206282926817	2.2294376800703E-5		0.41	-0.479683030050528	2.97916150977248E-5
0.45	-0.347957486531179	1.04824369753494E-5		0.42	-0.420975844525951	1.99415332162936E-5		0.41	-0.457238231895042	1.43088032583625E-5		0.41	-0.470747364732304	2.51977993975023E-5		0.42	-0.46419441499055	2.98613556214593E-5
0.46	-0.33857252695132	1.07205648287329E-5		0.439999999999998	-0.396147853932323	2.61469045095516E-5		0.42	-0.442576571261487	1.0119302837632E-5		0.42	-0.455406178633315	3.76476545397324E-5		0.43	-0.449798530124167	2.68003181894923E-5
0.47	-0.329702179502804	5.27171851017553E-6		0.459999999999997	-0.374257959620745	2.215981589199E-5		0.43	-0.42892253576499	1.25794568977426E-5		0.43	-0.441374948947463	2.71361750605878E-5		0.44	-0.436303705729072	1.52672569152422E-5
0.48	-0.321281556205137	1.64790158314771E-5		0.479999999999995	-0.354791588110926	4.24260150219877E-5		0.44	-0.416153299009836	6.59199750694057E-6		0.44	-0.428117659553367	2.40126291625699E-5		0.45	-0.423714228692185	1.31907343842745E-5
0.49	-0.313305993034142	1.09003728867126E-5		0.499999999999994	-0.337290074134971	3.86886891514465E-5		0.45	-0.404182966061963	1.11705958127801E-5		0.45	-0.415821532483119	1.51814557071337E-5		0.46	-0.411824290476801	2.27331798324411E-5
0.5	-0.305715800506871	1.37911253173066E-5		0.55	-0.300549203806401	2.89404394881084E-5		0.46	-0.392932718871138	7.64026124521121E-6		0.46	-0.404211874689086	1.83708498213399E-5		0.47	-0.400654968596123	1.62507635932859E-5
0.55	-0.272781700187043	1.9809301110122E-5		0.6	-0.271171207231271	4.14941107736484E-5		0.47	-0.382345619479117	7.43123226795124E-6		0.47	-0.393261470971662	1.83905527045964E-5		0.48	-0.390097011540453	1.46064843964428E-5
0.6	-0.246339695766614	6.89763529237985E-6		0.65	-0.2471267928825	1.29945409730464E-5		0.48	-0.372315976298066	1.23796812123165E-5		0.48	-0.382912186732605	1.69224455506787E-5		0.49	-0.38012324433542	2.02889539175738E-5
0.65	-0.224603278719478	1.28680133409532E-5		0.7	-0.226994187387263	1.4870443340113E-5		0.49	-0.362848820622904	1.10875309660666E-5		0.49	-0.373156272590926	1.21814662576488E-5		0.5	-0.37065637176069	1.70007976106475E-5
0.7	-0.206408174770754	1.02095676318843E-5		0.75	-0.209936682932446	1.17851655262935E-5		0.5	-0.353808248836164	1.48758607574295E-5		0.5	-0.363880608852231	1.66231702768375E-5		0.55	-0.329856202999371	7.56048533939461E-6
0.75	-0.190952437561283	7.17463195847206E-6		0.8	-0.195260340573677	8.71535143589004E-6		0.52	-0.337199590153583	1.28141855195774E-5		0.55	-0.323925158433654	1.09711057225864E-5		0.6	-0.297357071598792	5.74490040226099E-6
0.8	-0.17765013594962	4.40355085497083E-6		0.85	-0.182503993981463	1.06083641930501E-5		0.55	-0.31507019455273	1.27800259807282E-5		0.6	-0.292042129465988	7.56159832454624E-6				
0.85	-0.166088665441141	9.5519313256285E-6		0.9	-0.171333516709863	9.83952732143456E-6		0.58	-0.295746699028212	8.2723111037896E-6								
0.9	-0.155944171575456	9.49439388577332E-6		0.95	-0.161449915851077	1.2827916736682E-5		0.6	-0.284129987984085	7.62560324167264E-6								
0.95	-0.146962324924913	5.7094921050155E-6		1	-0.152637222481172	4.69266844332205E-5		0.62	-0.273435101266262	1.04673321334396E-5								
1	-0.138968844440773	8.03807213772622E-6						0.65	-0.25882045434178	8.13492147632907E-6								
								0.68	-0.24571571779024	7.48460754889701E-6								
								0.7	-0.23769758006633	7.0874192066162E-6								
								0.72	-0.230189873934433	7.51373367540083E-6								
								0.75	-0.219784033933682	9.14828768975566E-6								
								0.78	-0.210291792318619	5.79883486032781E-6								
								0.8	-0.204401570534673	5.31976369224352E-6								
								0.82	-0.198836564275569	6.00848512022383E-6								
								0.85	-0.191038021958838	5.29095821541565E-6								
								0.88	-0.183833399882542	6.1280918027744E-6								
								0.9	-0.179322791689313	2.20289334751699E-6								
								0.95	-0.1689629957389	2.5200576319495E-6								
								1	-0.15973704540159	7.99778404430031E-6								
