Fig3-a	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--																
g=0.4	odd -Z2-32x32	Plaquette	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
--	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
26	1.84855493425	1.821399589875	1.856442022625	1.850594359375	1.85318539575	1.852812955	1.855057162	1.856633335875	1.852867697625	1.857004430625	1.858878971625	1.856860242375	1.85424648	1.857746977625	1.855005420125	1.859183541625	1.85957974625	1.855939048625	1.858510971	1.857959472875	1.856832153875	1.857773586375	1.855034552	1.861555726375	1.8590796895	1.85753275575	1.856714067625	1.858823564	1.857103978	1.82543632475	1.8494344855
27	1.849031192625	1.821506683875	1.861238977875	1.8554589375	1.85601928325	1.8559199395	1.856047017125	1.858930175125	1.851731077375	1.85462310625	1.854661508875	1.856684608125	1.856171905	1.857862435	1.856262406	1.8545329735	1.857260415875	1.8568021755	1.855018153875	1.86022331025	1.8610918175	1.85673265675	1.8539408335	1.853886162625	1.853287967	1.857168316625	1.857281041125	1.855518610125	1.85524339975	1.82134412575	1.853671580375
28	1.842225649	1.815210131375	1.852456445125	1.84962478575	1.854748665	1.855533868875	1.855622179125	1.85293864075	1.850391344	1.857749906125	1.8582147955	1.857523003125	1.854420152	1.856159582875	1.856861061875	1.854788768625	1.857617330125	1.860267359125	1.8569035695	1.8550815965	1.85983454925	1.853029362125	1.85926156175	1.855548268375	1.853778675	1.8578516495	1.855945259375	1.853215411125	1.850741402	1.814307263625	1.844879692625
29	1.870320652375	1.81812048925	1.860829878875	1.8521078565	1.85585044	1.853523714875	1.857002526875	1.85720509775	1.854261028625	1.8551458365	1.857069960625	1.856619409	1.855133110375	1.857930113875	1.858469714875	1.859421863375	1.85913621125	1.857833738625	1.857053096375	1.8548370775	1.860132016375	1.858545314125	1.862585919375	1.854785527125	1.857696466875	1.858727768625	1.85798190325	1.851884576875	1.865002225125	1.82012730425	1.86608756025
30	1.787585600375	1.767819103625	1.816134746625	1.816566393125	1.824367574	1.82505903375	1.823658274	1.82743913825	1.8290222015	1.8299428585	1.829303677625	1.827210958375	1.824499595625	1.825791954375	1.826047205125	1.822757649125	1.824245676125	1.824875124875	1.82565759	1.82703042325	1.829164740375	1.828278386875	1.829025924125	1.821965450875	1.823608154	1.823110143125	1.825700321	1.818847008375	1.821629280875	1.769651003125	1.78505079525
31	1.93914786025	1.786712787375	1.866573426375	1.844272467	1.8511329225	1.849884220625	1.849806945	1.852508632875	1.8498640405	1.852244558125	1.84834458325	1.847624947625	1.848431279375	1.850767148625	1.8528560675	1.8499300715	1.8500170315	1.851268470375	1.848415911375	1.848926333875	1.848820692	1.852830066375	1.850456462625	1.84833699325	1.85084067	1.848314494	1.8550409605	1.84244942575	1.86408199625	1.788610997875	1.935533224
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
Fig3-b	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
g=0.8	odd -Z2-32x32	Plaquette	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
--	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
1	1.873241259875	1.387234532375	1.751167186625	1.528703189375	1.700780829125	1.575179142125	1.680780921375	1.590023547375	1.671963490875	1.598085406375	1.662802377875	1.60305384925	1.659496431	1.6060884345	1.662704992	1.612109455	1.658506722875	1.614178989375	1.66023891875	1.60964028625	1.659023209625	1.597722537375	1.663064375625	1.58657437125	1.680287538375	1.572674971875	1.70615834125	1.5258428575	1.752712900875	1.384917932875	1.87334812775
2	1.386609194	0.958381699125	1.253371185625	1.013905427125	1.190274781875	1.037036108625	1.15831821775	1.046857806375	1.1435841165	1.055948356125	1.1304720245	1.06303255525	1.1337597305	1.05996916925	1.125251114875	1.05201904425	1.116678371125	1.062185070625	1.128003306	1.06331035975	1.1308334925	1.05526423575	1.149964825	1.0504855405	1.159112242125	1.038071390125	1.191556271875	1.013815615	1.258947088125	0.968308201875	1.390155613875
3	1.760960181125	1.245966607	1.73862255875	1.406602810375	1.705745327	1.476368433125	1.6860458725	1.50643508675	1.671863514	1.528250869375	1.657018934	1.533750691625	1.654006566375	1.541350373875	1.65315659225	1.544058324875	1.653733809125	1.537537067125	1.657256232625	1.54199640825	1.660613929625	1.53116739075	1.6710902335	1.50555254675	1.6863499425	1.476689754	1.70693274175	1.404646867625	1.738808990125	1.256963486375	1.756706656875
4	1.525330883625	1.015076398375	1.406941672	1.06542001825	1.3222283245	1.0886377085	1.28219211225	1.086784023	1.258431475375	1.09968149125	1.241596838	1.101959607125	1.229475797625	1.108714696875	1.2221282325	1.103140951875	1.224289440625	1.104956834125	1.23140827925	1.105486826625	1.24237470875	1.0960184925	1.258119431125	1.084421148875	1.28359778325	1.081766739625	1.32494970425	1.06640647575	1.40897447725	1.014603881	1.524937571625
5	1.70138033925	1.190978138375	1.7044803845	1.334036711875	1.699613342125	1.4010168865	1.68761410925	1.44210999875	1.672618088	1.465042278875	1.672261405375	1.484145050625	1.660001232625	1.490257502875	1.657103354125	1.495599359625	1.6605338935	1.49032543175	1.657970020875	1.483232469375	1.6651915035	1.467656675625	1.6764471835	1.442690563625	1.688139157375	1.397817941375	1.693928447125	1.322122519625	1.705410809875	1.186706434625	1.69908213275
6	1.571457542	1.035339748375	1.467258432	1.08298581725	1.406419476125	1.09450984425	1.34862745125	1.10145562125	1.319210697875	1.096044055625	1.289810728125	1.104277674375	1.2783956165	1.112224718375	1.2811223805	1.113777577	1.273661042	1.105013948	1.279900364	1.097498036375	1.291759725625	1.105709455625	1.32127110825	1.092688930125	1.349744860375	1.088614322	1.400586454875	1.078188278625	1.47756383075	1.039942739875	1.5733434185
7	1.68270144375	1.159365098	1.68194703975	1.27910054	1.684586849375	1.351030143625	1.6771969865	1.3915514095	1.6765047775	1.4219174255	1.66786730675	1.439561519	1.668752311125	1.44828343725	1.666648824125	1.45092991175	1.6674413205	1.44960532125	1.67404153825	1.439356794375	1.6724285215	1.418978138125	1.680307588375	1.394133215125	1.68326496175	1.345814983125	1.6808979005	1.27309674175	1.6829455705	1.15314978275	1.68013949325
8	1.59524419475	1.048227219125	1.504797131875	1.0941957885	1.4442783795	1.102177104	1.3897955095	1.09382522175	1.357688398875	1.100914030375	1.336120439375	1.0965718035	1.320700281	1.108670538125	1.316706739625	1.105344886625	1.309975275	1.106809919875	1.321653497	1.101241449125	1.32906343975	1.091700893625	1.35875139825	1.096689407625	1.400990182125	1.1000810435	1.4440432565	1.092249131	1.502733509875	1.052262821125	1.588760864625
9	1.670098627	1.145311554375	1.67376781425	1.253174751625	1.670389889125	1.3185960535	1.676915838875	1.357017201	1.671838701625	1.3878798515	1.675251847375	1.406272231125	1.671768883875	1.42019719975	1.670402786875	1.420338981125	1.672573148375	1.4129858805	1.6738422005	1.40614770725	1.670556576	1.38669078625	1.682531432	1.356145359875	1.678835339125	1.322100475375	1.6736972295	1.25257954725	1.666871576125	1.138256146125	1.669035800125
10	1.596962713625	1.050490073625	1.52249572125	1.093472325375	1.47130872975	1.105255480125	1.41693735475	1.104153390625	1.391641636875	1.10550398225	1.368425398125	1.109782589625	1.34641206175	1.1029535925	1.346397270375	1.11041735475	1.34633608925	1.108230569125	1.345983728125	1.100951066	1.36264151825	1.1039824615	1.3908255135	1.10182334025	1.42538192925	1.1062939925	1.468082614	1.101874615125	1.525058162625	1.058534883375	1.604490345375
11	1.665575036875	1.13292756075	1.66890552575	1.242323805875	1.661155285125	1.296794609375	1.667566352125	1.33345170575	1.67013911675	1.363494783625	1.671146721375	1.384992204375	1.670043623125	1.391888747625	1.671586275375	1.402228548	1.671967016625	1.392960224375	1.66614424925	1.3811655155	1.669142309	1.36201985	1.671329561875	1.33466097625	1.671764622875	1.291281389625	1.665871071375	1.233162702625	1.661065161625	1.135795742	1.666798080875
12	1.60655444525	1.059095553625	1.539211946875	1.1128036655	1.490407253875	1.114398156125	1.444675415875	1.108449754375	1.415025443	1.108615547375	1.386137480125	1.102707627625	1.373608227	1.09998686525	1.364365965	1.10686946275	1.357206218375	1.109884215125	1.367469161125	1.10167910825	1.3759022985	1.098788304125	1.413828590625	1.104582789375	1.446521077	1.10681088275	1.483859503	1.100604821375	1.5419866185	1.06582857	1.606475646125
13	1.653413942	1.12614724425	1.659306656125	1.22904482075	1.66085569475	1.281786262625	1.665675114	1.3181213545	1.66834079025	1.346283517875	1.66622187025	1.36431502475	1.66626898975	1.374258200125	1.66973844925	1.383611493125	1.672651685125	1.369270399	1.668365588625	1.368439544625	1.66821097875	1.33878945225	1.674467224625	1.319832822375	1.66787944625	1.278506643875	1.65707200625	1.227198977375	1.65569864	1.12201700325	1.65753468675
14	1.607415641	1.065195837	1.547914442125	1.1073241095	1.4982959605	1.114171368625	1.450659159375	1.106710758875	1.4243127445	1.103312103375	1.392327140375	1.100705937625	1.378367504625	1.110921278125	1.374012185375	1.096711427875	1.36895472275	1.107943134	1.380605214125	1.103030492375	1.394218260125	1.092188764	1.42426656625	1.10938489925	1.45936210425	1.111117109375	1.499104966125	1.11159016375	1.553459180375	1.06305367275	1.6089478275
15	1.658143460125	1.13134859675	1.647359532625	1.2255310885	1.66319332	1.283856265375	1.663883100375	1.315029469375	1.66850325	1.334814995125	1.670484116375	1.35613600075	1.669402641625	1.371648008875	1.669959497375	1.3718310585	1.673328572875	1.37162742375	1.669815723875	1.35249436725	1.66979178375	1.333514842625	1.670117345375	1.314854622625	1.662590868875	1.277930222375	1.66068810125	1.22170900025	1.6539771555	1.13088352225	1.657447114
16	1.611065575375	1.05976977225	1.546323535125	1.1125259205	1.502231404875	1.113857604125	1.457942867625	1.111832771875	1.425656812625	1.101722106875	1.399505446875	1.09875080025	1.391229057125	1.106484722625	1.37800009675	1.104395670625	1.381107369875	1.10232298675	1.3879113625	1.099832497375	1.410230563875	1.10351223125	1.424245957875	1.109727969	1.45429326375	1.117520844625	1.495761348875	1.10803504675	1.545366636875	1.0607023315	1.615504943
17	1.65356830275	1.132762593375	1.651463038375	1.225193455625	1.65495500425	1.27725808625	1.664230648	1.31315323475	1.67703414725	1.340383559875	1.66808478725	1.35444356175	1.665866328375	1.364219367875	1.66247902875	1.37219128725	1.6733765945	1.373547513875	1.66627611525	1.35084380425	1.67186400125	1.33543775875	1.6696479785	1.312126596375	1.665047193625	1.275085705875	1.6589843935	1.22720870375	1.64670435275	1.131921632125	1.66029461325
18	1.60872100925	1.07175292975	1.546921892	1.109240378625	1.493370549125	1.105805441375	1.459756773	1.107343003375	1.428146145	1.100125576625	1.390900446375	1.10479660025	1.380408633125	1.10066457	1.37219224625	1.101438436375	1.37373689075	1.10044539425	1.3824076505	1.107376744375	1.396214260875	1.103268517	1.420579728375	1.105020213625	1.454338045375	1.111989368	1.49785007675	1.109244800125	1.547569808375	1.065397473875	1.6108749145
19	1.6578839005	1.127451743	1.655192200875	1.236450301	1.661047351375	1.286661159875	1.669263661375	1.31544299125	1.6700556975	1.346178957875	1.668194589125	1.361920751	1.66631618475	1.371883584375	1.67259918575	1.381105767125	1.67197633825	1.37392445825	1.668361882625	1.36727878525	1.66888985525	1.34817097125	1.668134219875	1.31728634975	1.669228753875	1.278383859625	1.651964670375	1.2252560385	1.6546056575	1.131345322625	1.659559154
20	1.60558207975	1.062979514875	1.543231637875	1.107851028125	1.489070208	1.119404601125	1.445678605375	1.1083786055	1.41615900525	1.10433052575	1.38064607825	1.10394810925	1.3669768145	1.1087217655	1.363119299	1.107228800375	1.373173275125	1.104070415625	1.3728220825	1.108939757375	1.388046786875	1.102764277375	1.40992865375	1.10656081	1.43873712725	1.107091076125	1.4825200035	1.104596074625	1.543745374125	1.067321043125	1.608702046375
21	1.668686930875	1.13410265625	1.66042889925	1.23365725375	1.667371284625	1.29729448075	1.6685340645	1.329047030375	1.6752824675	1.362860936375	1.674026650375	1.38030853775	1.67154575375	1.395622924875	1.66938092275	1.397716504125	1.67449405175	1.388658566625	1.668155585125	1.387051377125	1.6684523995	1.359924349	1.669492990125	1.33650106775	1.675048537375	1.302091931125	1.663440571	1.233277127125	1.6552684455	1.12968269025	1.663593072125
22	1.60042471325	1.052115780625	1.530982715375	1.101568362125	1.470372745875	1.107630170375	1.421424676875	1.098070319	1.38385015425	1.100061860375	1.366065306	1.1028930385	1.354260389	1.094013479375	1.340362819625	1.1119546205	1.34566354075	1.1115168295	1.355021822125	1.1073521865	1.362891759625	1.10506357225	1.39102563575	1.100666143875	1.420216046875	1.101298644875	1.4693284495	1.099270082875	1.530014706125	1.0566613675	1.598964999
23	1.673214077875	1.141361457125	1.670550289625	1.252413405125	1.676226410375	1.31820864075	1.679079050375	1.35660036525	1.670351290875	1.388223028375	1.671321822375	1.412058953375	1.670817282	1.41763794325	1.673934075125	1.429606390125	1.669574942375	1.41465429075	1.6722718905	1.4103062285	1.66969972125	1.38739321125	1.67545825475	1.361178205375	1.673656373125	1.317205305375	1.675643538375	1.25085072975	1.66515066925	1.140964183	1.665543456
24	1.593823382625	1.05087136575	1.509392585875	1.091261870375	1.446412869375	1.09366676975	1.39666955325	1.103507072375	1.352639049	1.097536601875	1.33128571175	1.1010425445	1.318229071375	1.105025221375	1.31242830325	1.110088311	1.32019275775	1.107115905375	1.319573449375	1.111422325875	1.34037861675	1.107914175	1.359271883125	1.10771529175	1.39114366975	1.0847194995	1.43813566625	1.08711458225	1.50350462775	1.050108853625	1.588532918875
25	1.679956942625	1.155878649	1.682673718875	1.289853511875	1.68789221275	1.3523025675	1.686429382375	1.387026819875	1.674090341	1.42275054	1.670140981125	1.439746882375	1.661956616375	1.446065849625	1.662701541375	1.460957354625	1.668624089125	1.45423380825	1.667626646625	1.4402638015	1.670777408	1.42061447975	1.677957544875	1.391530676875	1.683192762	1.347617283	1.685333736125	1.2824068375	1.6841527025	1.157854994	1.679255222125
26	1.5734187295	1.03434660925	1.474306581375	1.08304784625	1.40230677575	1.09599071825	1.35229333675	1.095824566	1.318798211	1.10587230725	1.300237079125	1.108840262375	1.282047704375	1.110305902125	1.2709592895	1.113285274	1.27539665325	1.113446549125	1.285950604875	1.10838724325	1.29609594075	1.1028498595	1.317300653	1.09323426125	1.3514730835	1.091620980375	1.401649925	1.09145818275	1.47755375375	1.034760059	1.570278537625
27	1.70306089625	1.189802248125	1.703654606625	1.330761850625	1.69160733725	1.399918442625	1.679784824625	1.443787355625	1.66879735525	1.462218097375	1.6680833565	1.487969833125	1.66050965775	1.4866468455	1.653913814875	1.492044274875	1.658584252875	1.497238568625	1.655640012	1.48050285475	1.656576278	1.466636875375	1.673735067875	1.442290900875	1.686979283625	1.402330109125	1.693777308	1.3296942325	1.710229853875	1.18533377075	1.704256992125
28	1.5225567905	1.022632023125	1.40226226375	1.0667552345	1.322001044875	1.079411282125	1.28092679625	1.094501421125	1.2600370255	1.101087617875	1.23844071625	1.112757370625	1.23832889225	1.104743661125	1.218849951875	1.11103887725	1.22888059625	1.110262073	1.230018042125	1.106067370375	1.2454194985	1.09710608625	1.253874393625	1.096389133875	1.2848267475	1.08141383375	1.3325398135	1.0657772625	1.40797842775	1.012578400125	1.524331438875
29	1.75622907325	1.25484991875	1.732318238875	1.412713758625	1.70667269625	1.473322285125	1.6806191985	1.51267812125	1.672319614875	1.528354419625	1.660807494875	1.539567036625	1.6566138375	1.55052263725	1.651037373125	1.54633233525	1.657756331625	1.546159776125	1.655658158	1.53808053375	1.66390033325	1.519131775875	1.670544599	1.511438533375	1.682956755875	1.464900626	1.703353880125	1.403496054	1.737196083	1.256638088	1.755650430375
